G?ABfg 	independence=5 	domination=3
G?ABfW 	independence=5 	domination=2
G?ABfc 	independence=5 	domination=3
G?ABfS 	independence=5 	domination=3
G?ABbs 	independence=5 	domination=2
G?ABfK 	independence=5 	domination=3
G?ABe[ 	independence=5 	domination=2
G?ABfw 	independence=5 	domination=2
G?ABfs 	independence=5 	domination=2
G?ABfk 	independence=5 	domination=2
G?ABf[ 	independence=5 	domination=2
G?ABf{ 	independence=5 	domination=1
G?AEN_ 	independence=5 	domination=3
G?AELo 	independence=5 	domination=2
G?AEJo 	independence=5 	domination=2
G?AENG 	independence=5 	domination=4
G?AELg 	independence=5 	domination=3
G?AEMK 	independence=5 	domination=4
G?AELK 	independence=5 	domination=4
G?AENo 	independence=5 	domination=2
G?AENg 	independence=5 	domination=3
G?AELw 	independence=5 	domination=2
G?AENc 	independence=5 	domination=3
G?AELs 	independence=5 	domination=2
G?AEJs 	independence=5 	domination=2
G?AENK 	independence=5 	domination=3
G?AELk 	independence=5 	domination=3
G?AENw 	independence=5 	domination=2
G?AENs 	independence=5 	domination=2
G?AENk 	independence=5 	domination=2
G?AEL{ 	independence=5 	domination=2
G?AEN{ 	independence=5 	domination=1
G?AFf_ 	independence=5 	domination=4
G?AFfO 	independence=5 	domination=3
G?AFfG 	independence=5 	domination=3
G?AFbg 	independence=5 	domination=3
G?AFeW 	independence=5 	domination=2
G?AFbW 	independence=5 	domination=2
G?AFfo 	independence=5 	domination=3
G?AFfg 	independence=5 	domination=3
G?AFfW 	independence=5 	domination=2
G?AFbw 	independence=5 	domination=2
G?AFfc 	independence=5 	domination=3
G?AFfS 	independence=5 	domination=3
G?AFfK 	independence=5 	domination=3
G?AFbk 	independence=5 	domination=3
G?AFe[ 	independence=5 	domination=2
G?AFb[ 	independence=5 	domination=2
G?AFfw 	independence=5 	domination=2
G?AFfs 	independence=5 	domination=2
G?AFfk 	independence=5 	domination=2
G?AFf[ 	independence=5 	domination=2
G?AFb{ 	independence=5 	domination=2
G?AFf{ 	independence=5 	domination=1
G?ABv_ 	independence=5 	domination=3
G?ABro 	independence=5 	domination=3
G?ABvG 	independence=5 	domination=2
G?ABvo 	independence=5 	domination=3
G?ABvg 	independence=5 	domination=2
G?ABvc 	independence=5 	domination=3
G?ABrs 	independence=5 	domination=2
G?ABvK 	independence=5 	domination=2
G?ABvw 	independence=5 	domination=2
G?ABvs 	independence=5 	domination=2
G?ABvk 	independence=5 	domination=2
G?ABv{ 	independence=5 	domination=1
G?AFNG 	independence=5 	domination=4
G?AFMg 	independence=5 	domination=3
G?AFKw 	independence=5 	domination=2
G?AFNo 	independence=5 	domination=2
G?AFNg 	independence=5 	domination=3
