FCQeW 	independence=3 	domination=3
FCQfo 	independence=3 	domination=2
FCQfg 	independence=3 	domination=2
FCQfW 	independence=3 	domination=2
FCQfw 	independence=3 	domination=1
FCQQO 	independence=3 	domination=3
FCQU_ 	independence=4 	domination=4
FCQT_ 	independence=3 	domination=3
FCQUO 	independence=3 	domination=3
FCQRO 	independence=3 	domination=2
FCQSg 	independence=3 	domination=3
FCQV_ 	independence=3 	domination=3
FCQVO 	independence=3 	domination=2
FCQUo 	independence=3 	domination=3
FCQUg 	independence=3 	domination=3
FCQTg 	independence=3 	domination=2
FCQVo 	independence=3 	domination=2
FCQVg 	independence=3 	domination=2
FCQUw 	independence=3 	domination=2
FCQVw 	independence=3 	domination=1
FCR`o 	independence=3 	domination=2
FCRf_ 	independence=3 	domination=3
FCReo 	independence=3 	domination=2
FCRdo 	independence=3 	domination=2
FCRfG 	independence=3 	domination=3
FCReg 	independence=3 	domination=3
FCRdg 	independence=3 	domination=2
FCRbg 	independence=3 	domination=3
FCRcw 	independence=3 	domination=2
FCR`w 	independence=3 	domination=2
FCRfo 	independence=3 	domination=2
FCRfg 	independence=3 	domination=2
FCRew 	independence=3 	domination=2
FCRdw 	independence=3 	domination=2
FCRfw 	independence=3 	domination=1
FCRV? 	independence=3 	domination=3
FCRUO 	independence=3 	domination=3
FCRV_ 	independence=3 	domination=3
FCRVO 	independence=3 	domination=2
FCRUo 	independence=3 	domination=3
FCRTo 	independence=3 	domination=2
FCRUg 	independence=3 	domination=3
FCRUW 	independence=3 	domination=3
FCRSw 	independence=3 	domination=3
FCRVo 	independence=3 	domination=2
FCRVg 	independence=3 	domination=2
FCRVW 	independence=3 	domination=2
FCRUw 	independence=3 	domination=2
FCRTw 	independence=3 	domination=2
FCRVw 	independence=3 	domination=1
FCQrO 	independence=3 	domination=2
FCQv_ 	independence=3 	domination=3
FCQvO 	independence=3 	domination=2
FCQuo 	independence=3 	domination=2
FCQug 	independence=3 	domination=3
FCQtg 	independence=3 	domination=2
FCQuW 	independence=3 	domination=2
FCQrW 	independence=3 	domination=2
FCQvo 	independence=3 	domination=2
FCQvg 	independence=3 	domination=2
FCQvW 	independence=3 	domination=2
FCQuw 	independence=3 	domination=2
FCQvw 	independence=3 	domination=1
FCRv_ 	independence=3 	domination=3
FCRvO 	independence=3 	domination=2
FCRuo 	independence=3 	domination=2
FCRto 	independence=3 	domination=2
FCRvo 	independence=3 	domination=2
FCRvg 	independence=3 	domination=2
FCRvW 	independence=3 	domination=2
FCRuw 	independence=3 	domination=2
FCRtw 	independence=3 	domination=2
FCRvw 	independence=3 	domination=1
FCR]o 	independence=3 	domination=3
FCR^o 	independence=3 	domination=2
FCR]w 	independence=3 	domination=2
FCR^w 	independence=3 	domination=1
FCR~o 	independence=3 	domination=2
FCR~w 	independence=3 	domination=1
FCp`_ 	independence=3 	domination=3
FCpf? 	independence=4 	domination=4
FCpe_ 	independence=3 	domination=3
FCpd_ 	independence=3 	domination=3
FCpb_ 	independence=3 	domination=3
FCpeO 	independence=3 	domination=3
FCpdO 	independence=3 	domination=3
FCpbO 	independence=3 	domination=3
FCpeG 	independence=4 	domination=4
FCpdG 	independence=3 	domination=3
FCpf_ 	independence=3 	domination=3
FCpfO 	independence=3 	domination=3
FCpeo 	independence=3 	domination=2
FCpdo 	independence=3 	domination=2
FCpbo 	independence=3 	domination=3
FCpfG 	independence=3 	domination=3
FCpeg 	independence=3 	domination=3
FCpdg 	independence=3 	domination=2
FCpeW 	independence=3 	domination=3
FCpfo 	independence=3 	domination=2
FCpfg 	independence=3 	domination=2
FCpfW 	independence=3 	domination=2
FCpfw 	independence=3 	domination=1
FCpV? 	independence=3 	domination=3
FCpU_ 	independence=4 	domination=4
FCpUO 	independence=3 	domination=3
FCpV_ 	independence=3 	domination=3
FCpVO 	independence=3 	domination=2
FCpUo 	independence=3 	domination=3
FCpVo 	independence=3 	domination=2
FCpUw 	independence=3 	domination=2
FCpVw 	independence=3 	domination=1
FCrf_ 	independence=3 	domination=3
FCrfO 	independence=3 	domination=3
FCreo 	independence=3 	domination=2
FCrdo 	independence=3 	domination=2
FCrbo 	independence=3 	domination=2
FCreW 	independence=3 	domination=3
FCrfo 	independence=3 	domination=2
FCrfg 	independence=3 	domination=2
FCrfW 	independence=3 	domination=2
FCrfw 	independence=3 	domination=1
FCrQo 	independence=3 	domination=3
FCrUo 	independence=3 	domination=3
FCrRo 	independence=3 	domination=2
FCrVG 	independence=3 	domination=3
FCrUW 	independence=3 	domination=3
FCrVo 	independence=3 	domination=2
FCrVg 	independence=3 	domination=2
FCrVW 	independence=3 	domination=2
FCrUw 	independence=3 	domination=2
FCrVw 	independence=3 	domination=1
FCpv? 	independence=3 	domination=3
FCptO 	independence=3 	domination=2
FCpv_ 	independence=3 	domination=3
FCpvO 	independence=3 	domination=2
FCpuo 	independence=3 	domination=2
FCpug 	independence=3 	domination=3
FCprg 	independence=3 	domination=2
FCpvo 	independence=3 	domination=2
FCpvg 	independence=3 	domination=2
FCpvW 	independence=3 	domination=2
FCpuw 	independence=3 	domination=2
FCpvw 	independence=3 	domination=1
FCrJo 	independence=3 	domination=2
FCrMW 	independence=3 	domination=3
FCrLW 	independence=3 	domination=3
FCrKw 	independence=3 	domination=3
FCrIw 	independence=3 	domination=3
FCrHw 	independence=3 	domination=2
FCrNo 	independence=3 	domination=2
FCrNW 	independence=3 	domination=2
FCrMw 	independence=3 	domination=2
FCrLw 	independence=3 	domination=2
FCrJw 	independence=3 	domination=2
FCrNw 	independence=3 	domination=1
FCqn_ 	independence=3 	domination=2
FCqno 	independence=3 	domination=2
FCqnW 	independence=3 	domination=2
FCqnw 	independence=3 	domination=1
FCrro 	independence=3 	domination=2
FCrvo 	independence=3 	domination=2
FCrvg 	independence=3 	domination=2
FCruw 	independence=3 	domination=2
FCrrw 	independence=3 	domination=2
FCrvw 	independence=3 	domination=1
FCrno 	independence=3 	domination=2
FCrng 	independence=3 	domination=2
FCrnW 	independence=3 	domination=2
FCrmw 	independence=3 	domination=2
FCrlw 	independence=3 	domination=2
FCrjw 	independence=3 	domination=2
FCrnw 	independence=3 	domination=1
FCr^o 	independence=3 	domination=2
FCr]w 	independence=3 	domination=2
FCr^w 	independence=3 	domination=1
FCr~o 	independence=3 	domination=2
FCr~w 	independence=3 	domination=1
FCXf? 	independence=4 	domination=4
FCXe_ 	independence=3 	domination=3
FCXbO 	independence=3 	domination=3
FCXf_ 	independence=3 	domination=3
FCXfO 	independence=3 	domination=3
FCXeo 	independence=3 	domination=2
FCXbW 	independence=3 	domination=2
FCXfo 	independence=3 	domination=2
